Emotion,Text
anger,"When I was driving home after  several days of hard work, there was a motorist ahead of me who was driving at 50 km/hour and refused, despite his low speeed to let me overtake."
disgust,"The time I knocked a deer down - the sight of the animal's injuries and helplessness.  The realization that the animal was so badly hurt that it had to be put down, and when the animal screamed at the moment of death."
fear,When I was involved in a traffic accident.
guilt,When I caused problems for somebody because he could not keep the appointed time and this led to various consequences.
joy,"During the period of falling in love, each time that we met and especially when we had not met for a long time."
sadness,When I lost the person who meant the most to me.
shame,When I did not speak the truth.
anger,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.
disgust,When I saw all the very drunk kids (13-14 years old) in town on Walpurgis night.
fear,When I was going home alone one night in Paris and a man came up behind me and asked me if I was not afraid to be out alone so late at night.
guilt,When my uncle and my neighbour came home under police escort.
joy,When I got a letter offering me the Summer job that I had applied for.
sadness,When my friends did not ask me to go to a New Year's party with them.
shame,When I could not remember what to say about a presentation task at an accounts meeting.
anger,When I had been obviously unjustly treated and had no possibility of elucidating this.
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating.
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death."
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives.  I feel very self-centered.
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time.
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings.
anger,When a car is overtaking another and I am forced to drive off the road.
disgust,When I found a bristle in the liver paste tube.
fear,"When, for the first time I realized the meaning of death."
guilt,When I think that I do not study enough.  After the weekend I think that I should have been able to have accomplished something during that time.
joy,After my girlfriend had taken her exam we went to her parent's place.
sadness,"When I recently thought about the hard work it takes to study, and  how one wants to try something else.  When I read a theoretical book in English that I did not understand."
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important."
anger,When one is unjustly accused of something one has not done.
